,position,company_name,rating,location,date_listed,salary
86,Data Analyst,Dynafin Consulting,,Brussel,Meer dan 30 dagen geleden,
87,FUNCTIONAL ANALYST – FREELANCE – 6 MONTHS – BRUSSELS (BELGIU...,Core-Origins,,Rotselaar,4 dagen geleden,
88,DATA ANALYST,HAYS,"3,6",Brussel,Meer dan 30 dagen geleden,
89,Data Warehouse Business Analyst,TiTANS,,België,Meer dan 30 dagen geleden,
90,"Data Business Analyst - Puurs-Sint-Amands, Belgium",Fedrus International,,Sint-Amands,Meer dan 30 dagen geleden,
91,Data & Analytics Consultant (H/F),Mevr. Lien Declercq,,Gent,Meer dan 30 dagen geleden,
92,"Business Analyst Intern | Brussels, Belgium",TopCompare,,Brussel-Hoofdstad,Meer dan 30 dagen geleden,
93,FREELANCE DATA ANALYST / Excel + sql,Eyetech Solutions,"4,8",Brussel,Meer dan 30 dagen geleden,€400 - €500 per week
94,GIS Analyst Consultant,GIM - Smart Geo Insights,,Leuven,Meer dan 30 dagen geleden,
95,Business Analyst Intern,TopCompare,,Brussel-Hoofdstad,Meer dan 30 dagen geleden,
96,Business Analyst (H/F),Dhr. Kevin Box,,Hasselt België,Meer dan 30 dagen geleden,
97,Junior Data Science Consultant,N-SIDE,,België,Meer dan 30 dagen geleden,
98,ANALYST-DEVELOPER (Junior-Senior) (H/F),Medi-Market,,Nijvel,4 dagen geleden,
99,Junior Marketing Analyst Intern,JACOBS DOUWE EGBERTS,"4,0",Brussel,Meer dan 30 dagen geleden,
100,Functional Analyst,dataa,,Brussel,Meer dan 30 dagen geleden,
101,Data Migration Analyst,Allianz,"3,9",Brussel,Meer dan 30 dagen geleden,
102,Reward Data Analyst Consultant,EY,"4,0",België,Meer dan 30 dagen geleden,
103,Financial Analyst,Ageas,,Brussel,13 dagen geleden,
104,Logistics analyst,Logflow,,België,Meer dan 30 dagen geleden,
106,Lab analyst Chromatography (H/F),Mevr. Natalie Hoste,,Gent,Meer dan 30 dagen geleden,
107,Data and Business Analyst,Actito,,Louvain-la-Neuve,Meer dan 30 dagen geleden,
108,Junior Business Analyst,METRO AG,,Wommelgem,Meer dan 30 dagen geleden,
109,Test Analyst - Financial Apps,TiTANS,,België,Meer dan 30 dagen geleden,
110,Senior Analyst / Project Manager,TCI Research,,Brussel,5 dagen geleden,
119,Junior Data Analist,Medialaan,,Vilvoorde,20 dagen geleden,
120,Data Engineer - Business Analyst,SWIFT,,Brussel,Meer dan 30 dagen geleden,
121,Product Analyst Integration,OMP,,Wommelgem,Meer dan 30 dagen geleden,
122,Business Process Consultant,CAPCO,,Brussel,6 dagen geleden,
123,Business Analyst,CHEP,"3,5",Mechelen,17 dagen geleden,
124,Cybersecurity Consultant,CAPCO,,Brussel,6 dagen geleden,
125,Media & Data Analyst,AUXIPRESS,,Oudergem,Meer dan 30 dagen geleden,
126,Data Governance Analyst,Sparagus,,Antwerpen (stad),3 dagen geleden,
127,Digital Marketing Data Analyst,We Are Digital,,Leuven,Meer dan 30 dagen geleden,
128,Junior Telecom Adviseur – Telecom Analyst,P&J Benedict,,Sint-Niklaas,Meer dan 30 dagen geleden,
129,Junior Research Analyst - Banking and Insurance,McKinsey & Company,"4,3",Brussel,Meer dan 30 dagen geleden,
130,Strategist,Prophets,,Antwerpen (stad),Meer dan 30 dagen geleden,
131,Data strategist,Telenet,"3,8",Mechelen,Meer dan 30 dagen geleden,
132,Data Analyst,Eurofins Digital Testing,,Hasselt België,Meer dan 30 dagen geleden,
133,Business Analyst,Seargin,,Brussel,5 dagen geleden,
135,Data Analist Digital Marketing,Aldi,"3,4",Erpe-Mere,2 dagen geleden,
136,Content Strategist,Prophets,,Antwerpen (stad),Meer dan 30 dagen geleden,
137,Director of Global Data & Insights,Wikimedia Foundation,,Brussel,Meer dan 30 dagen geleden,
138,Immunology Business Analyst,UCB S.A.,"3,8",Anderlecht,Meer dan 30 dagen geleden,
139,"Analyst, Sales Operations",VF Corporation,"3,8",Antwerpen (stad),10 dagen geleden,
140,Business Analyst Purchasing,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
141,Business Process Analyst,Reditech,,België,Meer dan 30 dagen geleden,
142,INTERNATIONAL PROGRAMME FOR JUNIORS (VIE) - DATABASE ADMINIS...,Total,"4,0",België,Meer dan 30 dagen geleden,
144,Stafmedewerker kwaliteit,AZ Klina,"5,0",Brasschaat,10 dagen geleden,
145,Data Analyst (H/F),AGO Jobs & HR,,Doornik,Meer dan 30 dagen geleden,
146,Supply Chain Business Analyst,OMP,,Wommelgem,Meer dan 30 dagen geleden,
147,Risk Officer Data Management,ING,"4,0",België,26 dagen geleden,
148,Enterprise Data Specialist/ Manager,Entico,,Brussel,6 dagen geleden,
149,Voltijds data-analist/beleidsmedewerker Business Intelligenc...,Thomas More,,Mechelen,3 dagen geleden,
150,Junior Trademark Analyst (German Speaker),Clarivate Analytics,,Berchem,Meer dan 30 dagen geleden,
151,Price List Data Advisor,TVH GROUP NV,"3,7",Waregem,Meer dan 30 dagen geleden,
153,Technical Analyst Data,ENGIE,"3,7",Brussel,Meer dan 30 dagen geleden,
154,Marketing Analist,Domino's Pizza Netherlands,"3,6",Berchem,26 dagen geleden,
155,Markov chain Monte Carlo methods for Bayesian data assimilat...,KU Leuven,"4,2",Leuven,Meer dan 30 dagen geleden,
156,Wizard of Data,Induxx,,Aalst,5 dagen geleden,
157,ServiceMax SME,"Terumo BCT, Inc.",,Leuven,11 dagen geleden,
158,Data Analyst / Data Architect,LACO Information Services,,Diegem,Meer dan 30 dagen geleden,
159,LAB ANALIST,Pfizer,"4,2",Puurs,Meer dan 30 dagen geleden,
160,CRM Analyst,Telenet,"3,8",Mechelen,Meer dan 30 dagen geleden,
161,Functional Data Analyst,Securex,"3,8",Brussel,Meer dan 30 dagen geleden,
162,Business Intelligence Analyst,Hubo,"3,8",Wommelgem,23 dagen geleden,
163,Analyst/Consulant - Belgium,Miebach Consulting,,Leuven,Meer dan 30 dagen geleden,
164,Product Analyst,Corilus,"2,8",Gent,18 dagen geleden,
165,Advisor Analyst,NMBS,"3,6",Brussel,26 dagen geleden,
166,Digital Analyst,Colruyt Group,"3,9",Halle,Meer dan 30 dagen geleden,
167,Business Analyst,StepUp Consulting,,Leuven,Meer dan 30 dagen geleden,
177,Audit Data Analyst Expert,Euroclear,"4,0",Brussel,Meer dan 30 dagen geleden,
178,Master Data Analyst,Barry Callebaut,"3,5",Lebbeke Wieze,Meer dan 30 dagen geleden,
