,position,company_name,rating,location,date_listed,salary
205,Accounting Manager,Span systems,,Thailand,30+ วันที่ผ่านมา,
206,Big Data Engineer / Data Architect,Muang Thai Life Assurance,,"ห้วยขวาง, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
207,Fundraising Database Associate (Salesforce) (,UNHCR Thailand,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
209,Electrical Engineer,บริษัท อยุธยา อินดัสเตรียล แก๊ส จำกัด,,"บางปะอิน, พระนครศรีอยุธยา",30+ วันที่ผ่านมา,
210,Monitoring and Evaluation Officer Re-advertisement,United Nations Development Programme (UNDP),4.4,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
211,Business Analyst,บริษัท มาโค เทคโนโลยี จำกัด,,กรุงเทพมหานคร,28 วันที่ผ่านมา,
212,Finance Analyst,Adecco,3.8,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
213,Statistical Business Analyst,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
215,System Analyst Datawarehouse,"Vanness Plus Consulting Co.,Ltd",,"พญาไท, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
216,Account Analyst,Adecco,3.8,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
217,SCM Analyst (Supply Chain Management) - Food Industry,Experis Thailand,,"พระนคร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
218,SIEM Administrator,IBM,3.9,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
219,Delivery Analyst (ANZ),"Pasona HR Consulting Recruitment (Thailand) Co.,Lt...",,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
220,Financial Analyst,บริษัท ลูเมนตั้ม อินเตอร์เนชั่นแนล (ประเทศไทย) จำก...,,ปทุมธานี,30+ วันที่ผ่านมา,
221,etl developer,บริษัท ซินเนอจี โกลบอล เน็ตเวิร์ค จำกัด,,"ราชเทวี, กรุงเทพมหานคร",4 วันที่ผ่านมา,
222,Product Costing Analyst,PMB Siam Consultant Co,,นิคมอุตสาหกรรมเหมราชอีสเทิร์นซีบอร์ด,30+ วันที่ผ่านมา,
223,HR Technology Professional,Harng Central Department Store Limited.,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
224,Business Intelligence Analyst,Siam M&M,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
225,Business Planning Analyst,PRTR,,"บางพลี, สมุทรปราการ",30+ วันที่ผ่านมา,
226,system analys,บริษัท สงขลาฟินิชชิ่ง จำกัด,,"จตุจักร, กรุงเทพมหานคร",30+ วันที่ผ่านมา,"30,000 บาทต่อเดือน"
227,Financial Analyst,,,กรุงเทพมหานคร,30+ วันที่ผ่านมา,
228,Accounting Analyst (General Accounting/HR Accounting/Financ,Adecco,3.8,"คลองเตย, กรุงเทพมหานคร",30+ วันที่ผ่านมา,
