,position,company_name,rating,location,date_listed,salary
165,Data Analyst (m/w/d) Versicherungscenter,CHECK24 Versicherungsservice GmbH,"3,6",München,vor 3 Tagen,
166,ICQA Data Analyst (m/w/d),Amazon Logistik Suelzetal GmbH,"3,6",Sülzetal,Vor mehr als 30 Tagen,
169,Analyst Investment Consulting (f/m/d),XTP AG,,Frankfurt am Main,Vor mehr als 30 Tagen,
170,Data Analyst (m/w/d),ARUMedia,,Stuttgart,Vor mehr als 30 Tagen,
171,BI - Data Analyst Developer (gn),SoftwareONE,,München,Vor mehr als 30 Tagen,
172,Data Analyst (m/w/d),ISS Facility Services Holding GmbH,"3,5",Düsseldorf,vor 12 Tagen,
173,Junior Data & Visualization Engineer (m/w/d),Thomann.io,,Coburg,Vor mehr als 30 Tagen,
174,Business Planning Junior Analyst (m/f/x),Hyundai,"4,0",Frankfurt am Main,Vor mehr als 30 Tagen,
175,Data Science Immersive Instructor,GA Instructor,,Berlin,Vor mehr als 30 Tagen,
176,Data Scientist / Data Analyst (m/w/d),Mediengruppe Pressedruck,,Augsburg,vor 19 Tagen,
177,Global Sourcing Data Analyst*,PERI,"3,7",Ulm,Vor mehr als 30 Tagen,
178,Analyst – EU Power & Carbon Markets,RELX Group,,Karlsruhe,Vor mehr als 30 Tagen,
179,Digital Marketing Analyst (m/w/d),nvb gmbh,,Deutschland,vor 4 Tagen,
181,Data Analyst (m/w/d),auticon GmbH,,Berlin,Vor mehr als 30 Tagen,
182,Business Intelligence Analyst,Kaia Health,,München,vor 18 Tagen,
183,Oncology Data Analyst,Veeva Systems,,Frankfurt am Main,Vor mehr als 30 Tagen,
184,Business Intelligence Analyst,Systems Plus,,Stuttgart,Vor mehr als 30 Tagen,
185,M&A Analyst / Associate,LUXCARA GmbH,,Hamburg,Vor mehr als 30 Tagen,
186,"Business Analyst für Data Driven Automation (Process Mining,...","CGI Group, Inc.","3,6",Hamburg,Vor mehr als 30 Tagen,
187,Contract Operations Analyst (m/f/d),Statkraft,,Düsseldorf,vor 11 Tagen,
227,Sr. Business Analyst (m/f/d),CYBEX,,Bayreuth,Vor mehr als 30 Tagen,
228,Data Analyst Kostenmanagement m/w/d,DZ Bank,"4,2",Frankfurt am Main,vor 10 Tagen,
229,Customer Intelligence Analyst,Emma The Sleep Company,"4,8",Frankfurt am Main,Vor mehr als 30 Tagen,
230,Intern Securitization Research (f/m/d),UniCredit Bank,"3,9",München,vor 6 Tagen,
231,Business Analyst,Schrödinger,,München,Vor mehr als 30 Tagen,
232,Business Analyst,Katering1,,Berlin,Vor mehr als 30 Tagen,
233,Business Intelligence Analyst,Trade Republic Bank GmbH,,Berlin,Vor mehr als 30 Tagen,
234,Specialist Market Management (m/f/d),Kia Motors Europe GmbH,,Frankfurt am Main,vor 19 Tagen,
236,Digital Analyst (m/w/d),FUNKE Digital GmbH,,Berlin,vor 2 Tagen,
237,AML Analyst DE (m/f/div) für solarisBank AG,solarisBank,,Berlin,Heute,
238,Database Administrator,Serco Europe,"3,5",Köln,Vor mehr als 30 Tagen,
239,Senior Data Analyst (m/w/d),wenigermiete.de,,Berlin,Vor mehr als 30 Tagen,
240,Ground-Truth Analyst,Cape Analytics,,München,Vor mehr als 30 Tagen,
241,Data Manager | Data Analyst (m/w/d) für B2B-Online-Marketing,Lumitos GmbH,,Berlin,Vor mehr als 30 Tagen,
242,Data Analyst Logistik (m/w/d),admoVa Consulting GmbH,,Bad Camberg,Vor mehr als 30 Tagen,
243,Data Analyst (d/m/w) als Kundenversteher,TeamBank AG Nürnberg,,Nürnberg,Vor mehr als 30 Tagen,
244,Supply Chain Analyst (m/f/d),Teva Pharmaceuticals,"3,7",Ulm,vor 14 Tagen,
245,(Senior) Data Analyst (m/f/d),Freeletics GmbH,,München,vor 17 Tagen,
246,Political Data Analyst (m/w/d),Cosmonauts and Kings GmbH,,Berlin,vor 25 Tagen,
247,BI Analyst / Manager – Data Analytics (w/m/d),kfzteile24 GmbH,"3,7",Berlin-Treptow,Vor mehr als 30 Tagen,
248,CRO Analyst,Flint Data,,Berlin,Vor mehr als 30 Tagen,68.000 € - 75.000 € pro Jahr
249,IT Support Analyst JD Edwards - Finance,VARO Energy,,Hamburg,Vor mehr als 30 Tagen,
250,Marketing Controller / Marketing Analyst (m/w/d),Getsafe GmbH,,Heidelberg,vor 9 Tagen,
251,Analyst Business Intelligence und Data Warehouse (m/w/d) Pos...,Deutsche Post,"3,1",Bonn,Vor mehr als 30 Tagen,
253,GIS & Geodata Analyst (m/w/d),GEO DATA GmbH,,Westhausen,Vor mehr als 30 Tagen,
254,Marketing Controller / Marketing Analyst (m/w/d),sevDesk,,Offenburg,Vor mehr als 30 Tagen,
255,Data Analyst für Process Mining (m/f),DATANOMIQ GmbH,,Berlin,Vor mehr als 30 Tagen,
256,Senior Berater Data Analyst & Reporting (w/m/d),SIEGER Consulting GmbH,,Köln,Vor mehr als 30 Tagen,
257,Business Data Analyst (m/w/d),Dr. Scharff + Eiberger GmbH & Co. KG,,Heilbronn,vor 3 Tagen,
258,Corporate Finance/M&A Analyst,CatCap GmbH,,Berlin,Vor mehr als 30 Tagen,
259,Business- und Data-Analyst,s-dt.de,,Lentföhrden,Vor mehr als 30 Tagen,
260,Client Onboarding Analyst- Frankfurt,"Jefferies & Company, Inc.",,Frankfurt am Main,vor 13 Tagen,
261,Business Analyst,AWS EMEA SARL (Germany Branch),"3,6",Berlin,Vor mehr als 30 Tagen,
262,Business Analyst (m/w/d) Warenwirtschaftliche Prozesse und S...,REWE,"3,4",Köln,Vor mehr als 30 Tagen,
