,position,company_name,rating,location,date_listed,salary
137,Data Protection Compliance Analyst,earlycareers-dentsuaegisnetwork,,Manchester,4 days ago,
138,Data Analyst / BSR Coordinator,University Hospitals Plymouth NHS Trust,,Plymouth,3 days ago,"£18,813 - £20,795 a year"
140,Data Analyst / Developer,Imperial College London,4.3,St. Mary's,30+ days ago,"£38,006 - £46,627 a year"
141,Commercial Data Analyst,EposNow.com,,Norwich,4 days ago,
143,Analyst,Dyfed Powys Police,4.0,Carmarthen,7 days ago,"£25,380 - £32,796 a year"
146,UK People Data Analyst,earlycareers-dentsuaegisnetwork,,Manchester,10 days ago,
150,Data Analyst - Tableau,Summit Changemakers,4.1,Kingston upon Hull,13 days ago,"£40,000 a year"
152,Business Analyst,Central Asia Logistics Limited,,London,3 days ago,"£40,000 - £45,000 a year"
153,Data Analyst (Investment Operations),Pension Protection Fund (PPF),,Croydon CR0 2NA,19 days ago,"£46,250 - £50,000 a year"
156,Data Protection Compliance Analyst,Dentsu Aegis Network,3.7,Manchester,4 days ago,
159,Data and Reporting Analyst,Remarkable Jobs,,London,12 days ago,"£25,000 - £32,000 a year"
160,Data Analyst,Kinetic Investments,,London,30+ days ago,
163,Excel Data Analyst - Inside IR35,GCS Recruitment Specialists Ltd,5.0,London,30+ days ago,£350 - £400 a day
167,Data and Reporting Analyst,LGC Limited,3.9,Teddington,13 days ago,
170,Business Intelligence Manager,Agri Briefing,,Preston,4 days ago,"£30,000 - £35,000 a year"
171,Business Analyst,SSE plc,3.0,England,3 days ago,
184,Utility Data Analyst,TEAM Energy Auditing Agency,3.7,Milton Keynes,30+ days ago,"£18,500 - £24,000 a year"
186,Media Analyst,Upfield,3.6,Wimbledon Park,3 days ago,
188,Compliance Analyst,Avencia,,London,4 days ago,"£40,000 - £50,000 a year"
192,Fraud and Risk Analyst,Livescore,,Gibraltar,11 days ago,
195,Product Review Analyst,Phoenix Group UK,4.2,Birmingham,4 days ago,
197,Junior Business Process Management Analyst,MS Amlin,3.2,London,4 days ago,
198,Data Analyst,sync.money,,London,30+ days ago,
200,Corporate Services Intern – Business Intelligence Performanc...,South Wales Police,3.9,Bridgend,6 days ago,"£18,951 - £20,199 a year"
202,Data Analyst Trainer,Steadfast Training Ltd,,Newark-on-Trent,30+ days ago,
204,Credit Risk Analyst,Insight UK,3.6,Uxbridge,4 days ago,
206,G4 Senior Data Analyst – TRACER,UK Government - National Crime Agency,3.0,London,9 days ago,"£35,846 a year"
207,Data Analyst - Higher Apprentice,Warwickshire County Council,3.9,Warwick,28 days ago,"£15,830 a year"
208,Data Vendor Analyst - 12 month fixed term contract,Columbia Threadneedle Investments,4.0,London,9 days ago,
211,Category & Insight Analyst,Dr. Oetker,3.8,Leeds,10 days ago,
212,"Scientist in Data, Methods, & Analytics",GSK,4.2,Brentford,17 days ago,
216,Business Intelligence Developer,Autonative,,Chichester,6 days ago,"£30,000 - £38,000 a year"
219,Fraud & Risk Analyst,Gamesys,3.1,Gibraltar,11 days ago,
221,BI Analyst,ASDA,3.5,Leeds LS27 0DQ,13 days ago,
222,Industry Risk Analyst,OVO External,,Bristol,5 days ago,
225,Snr Data Analyst,PepsiCo,3.8,Reading,13 days ago,
226,CRM Data Analyst,TalkTalk,3.7,Salford Quays,30+ days ago,
227,DATA BUSINESS ANALYST,Gazprom,3.8,London,14 days ago,
230,Business Analyst / Product Owner,Playtech,4.3,Holborn,5 days ago,
231,Data Analyst Graduate (Financial Services) - November 2020,Mazars,3.7,London,10 days ago,
242,"Workday Data Analyst (SQL, EiB, HR Data Migration)",Ampersand Consulting,3.7,London,30+ days ago,£400 - £550 a day
244,"Business Analyst (SQL, Data, MI, Business Analysis)",Ampersand Consulting,3.7,Stoke-on-Trent,30+ days ago,"£20,000 - £32,000 a year"
246,Business Analyst,CarePlanner,,Bristol,14 days ago,
247,Data Analyst,OATS Recruitment,,London SE1 2QH,18 days ago,£19.49 - £24.26 an hour
248,Junior Data Analyst,Yolk Recruitment Ltd,4.6,Cardiff,6 days ago,
251,Data Analyst,Bumble,,London,30+ days ago,
254,Graduate Data Analyst,Profiles Personnel,4.1,Farnham,24 days ago,"£20,000 - £23,000 a year"
258,Data Analyst,Oodle Finance,2.3,Oxford,30+ days ago,
259,HR Data and Systems Analyst – Wigan (WN5),Arrow XL,2.9,Wigan WN5 0LB,5 days ago,"£35,000 a year"
264,Experienced intelligence analyst,Metropolitan Police,3.8,London,12 days ago,"£29,201 - £31,415 a year"
266,Data Analyst x5,Talent International,4.5,Newport,17 days ago,£15 - £25 an hour
267,Business Data Analyst,The Summer Berry Company,,Chichester,30+ days ago,"£37,000 - £40,000 a year"
