,position,company_name,rating,location,date_listed,salary
134,Technical Digital Analyst,TSW S.r.l.,,Italia,Più di 30 giorni fa,
135,Cyber Security Analyst,Moviri,"5,0","Milano, Lombardia",Più di 30 giorni fa,
136,Google ADS / Digital Advertising Specialist,WMR Group,,"Padova, Veneto",3 giorni fa,
137,Digital Advertising Specialist (Google e FaceBook ADS),Jusan Network Srl,,"Torino, Piemonte",Più di 30 giorni fa,
146,IT DATA ANALYST,Cornoconsulting Group,,"Aeroporto della Malpensa, Lombardia",Più di 30 giorni fa,
147,Digital Data Analyst,Spring Professional,,"Roma, Lazio",Più di 30 giorni fa,
148,OTT Product - Senior Business Analyst,Deltatre,"4,0","Torino, Piemonte",Più di 30 giorni fa,
149,Partnership Manager,Datrix Group,,"Milano, Lombardia",Più di 30 giorni fa,
150,DEMAND ANALYST (M/F),DeLonghi,"3,7","Treviso, Veneto",Più di 30 giorni fa,
151,Business Analyst Consultant,Iconsulting,,"Bologna, Emilia-Romagna",Più di 30 giorni fa,
152,Clinical Lead I,Premier Research Group Limited,,"Milano, Lombardia",5 giorni fa,
153,IT Risk&Advisory Consultant,Mazars Italia spa,"3,7","Milano, Lombardia",Più di 30 giorni fa,
155,Insights Leader,IKEA,"3,9","Carugate, Lombardia",Più di 30 giorni fa,
156,NETWORK SECURITY ANALYST,SOGETEL srl,,"Roma, Lazio",Più di 30 giorni fa,
158,"Financial Analyst, Accounting",Amazon Italia Services Srl,"3,6","Milano, Lombardia",Più di 30 giorni fa,
159,Project Manager Chimico-Pharma - Area Data Analyst e Costi,Manpower Italia,"3,9","Trezzano sul Naviglio, Lombardia",Più di 30 giorni fa,
160,Data Engineer,American Modern Insurance Group,,"Amelia, Umbria",Più di 30 giorni fa,
161,Journeyman Management Analyst,"Sawdey Solution Services, Inc.",,"Napoli, Campania",Più di 30 giorni fa,
162,Business Analyst IT-13,List Group,,"Milano, Lombardia",Più di 30 giorni fa,
163,Enterprise Resource Planning (ERP) Management Analyst,Amentum,,"Caserta, Campania",17 giorni fa,
164,Business Analyst,Valuement,,"Milano, Lombardia",Più di 30 giorni fa,
165,data analyst junior,Randstad,"3,7","Torino, Piemonte",19 giorni fa,
167,Digital Performance Analyst,Intarget,,"Milano, Lombardia",Più di 30 giorni fa,
168,IT Risk & Controls Analyst,Devire,,Italia,Più di 30 giorni fa,
169,IT PROJECT MANAGER,TUATARA SP. Z O.O.,,Italia,Più di 30 giorni fa,
170,"Junior - Technology & Data Risk - Corporate, Public and Priv...",Deloitte,"4,0","Milano, Lombardia",Più di 30 giorni fa,
171,ICT Technician,UNESCO,,"Trieste, Friuli-Venezia Giulia",24 giorni fa,
172,Commercial Planning Analyst,ING Direct,"4,0","Milano, Lombardia",Più di 30 giorni fa,
173,Analyst Real Estate,Page Personnel,"2,6","Provincia di Milano, Lombardia",Più di 30 giorni fa,€28.000 - €32.000 all'anno
174,CRM Data Analyst,Antal International,,"Milano, Lombardia",25 giorni fa,
175,E-Commerce Analyst,Antal International,,Italia,Più di 30 giorni fa,
176,Field Service Analyst Senior,ManTech International Corporation,,Italia,Più di 30 giorni fa,
177,Analista Programmatore,Manpower Italia,"3,9","Palermo, Sicilia",Più di 30 giorni fa,
178,Data Analyst Categorie Protette Lg. 68/99,Randstad Italia Spa,"3,7","Milano, Lombardia",Più di 30 giorni fa,€28.000 - €35.000 all'anno
179,Web Analyst,Luxottica Group,"3,6","Milano, Lombardia",Più di 30 giorni fa,
180,CRM Analyst,Ali Spa,"3,8","Verona, Veneto",18 giorni fa,
181,Customer Trade Marketing Analyst - Multinazionale Leader FMC...,Page Personnel,"2,6","Provincia di Milano, Lombardia",Più di 30 giorni fa,€30.000 - €35.000 all'anno
183,ERP Technical Analyst - Italian HQ (Cliente finale),Hays Srl,,"Monza, Lombardia",25 giorni fa,€40.000 all'anno
184,SUPPLY CHAIN BUSINESS ANALYST (M/F),DeLonghi,"3,7","Treviso, Veneto",Più di 30 giorni fa,
185,"Analyst, Business Intelligence (Delivery Hub)",IQVIA,"3,8","Milano, Lombardia",11 giorni fa,
186,Senior Analyst,La Compagnia Holding,,"Milano, Lombardia",Più di 30 giorni fa,
187,ANALISTA PROGRAMMATORE/DEVELOPER ANALYST SENIOR,S2E Srl,,"Milano, Lombardia",6 giorni fa,
188,"AVP, Financial Systems & Data Integrity",American Modern Insurance Group,,"Amelia, Umbria",Più di 30 giorni fa,
