,position,company_name,rating,location,salary,country,days,salary_num,date
0,Business Analyst & Engineer SAP BW (w/m/d) Teilzeit/Vollzeit,Helvetia Versicherungen,,nan,nan,Switzerland,18.0,,2020-05-29
1,Data Analyst,Acpqualife Suisse,,"Genf, GE",nan,Switzerland,11.0,,2020-06-05
2,Business Senior Analyst – Data Sourcing,CRISIL Limited,,"Zürich, ZH",CHF 492 - CHF 644 pro Tag,Switzerland,4.0,119423.16,2020-06-12
3,Business Analyst / Data Analyst,Infoplus Technologies,,"Basel, BS",nan,Switzerland,5.0,,2020-06-11
4,Data Warehouse Analyst (w/m),St.Galler Kantonalbank,,"St. Gallen, SG",nan,Switzerland,17.0,,2020-05-30
5,"Graduate Talent Program 2020, Sales Data Analyst",UBS,,"Zürich, ZH",nan,Switzerland,3.0,,2020-06-13
6,Data Analyst - DWH Specialist,Fincons Spa,,"Lugano, TI",nan,Switzerland,9.0,,2020-06-07
7,IT Business Analyst,Infoplus Technologies,,"Basel, BS",nan,Switzerland,26.0,,2020-05-21
8,RWA Analyst,CRISIL Limited,,"Zürich, ZH",nan,Switzerland,16.0,,2020-05-31
9,Data Analyst (f/m) 80-100%,Ricardo,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
10,Private Equity Analyst Program - Primary Team (Venture Capit...,LGT,,Schweiz,nan,Switzerland,30.0,,2020-05-17
11,Business Development Analyst Intern,StepStone Group LP,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
12,Asset Analyst neue erneuerbareEnergien 100% (m/w),WinJi,,"Zürich, ZH",nan,Switzerland,12.0,,2020-06-04
13,Financial Analyst,Abbott Laboratories,,"Basel, BS",nan,Switzerland,12.0,,2020-06-04
14,Marketing Data Analyst (m/w),Touring Club Suisse,,"Schönbühl, BE",nan,Switzerland,30.0,,2020-05-17
15,"Cyber Intelligence Analyst, Trust and Safety",Google,,"Zürich, ZH",nan,Switzerland,17.0,,2020-05-30
16,Datawarehouse Analyst / Data Engineer,Cembra Money Bank,,"Zürich, ZH",nan,Switzerland,17.0,,2020-05-30
17,Data analyst,Octal,,"Saint Saphorin, VD",nan,Switzerland,30.0,,2020-05-17
18,Planning Analyst,Johnson & Johnson Family of Companies,,"Zuchwil, SO",nan,Switzerland,30.0,,2020-05-17
19,Optical Element Data Analyst (m/f/d),ams,,"Rüschlikon, ZH",nan,Switzerland,30.0,,2020-05-17
20,Data Analyst (Junior/Mid-level),Partners Group,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
21,Digital Data Analyst 100% (w/m),CH Media Holding AG,,"Aarau, AG",nan,Switzerland,18.0,,2020-05-29
22,HR Data Analyst / HR Controller (w/m) 80–100%,TX Group,,"Zürich, ZH",nan,Switzerland,6.0,,2020-06-10
23,Associate Data Scientist - Information Technology (m/f),Procter & Gamble,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
24,Data Consultant,Onedot,,"Schlieren, ZH",nan,Switzerland,1.0,,2020-06-15
25,Praktikanten oder Werkstudenten Data Mining (m/w),LUXENDO GmbH,,"Fällanden, ZH",nan,Switzerland,0.0,,2020-06-16
26,Portfolio Reporting analyst,Syngenta,,"Basel, BS",nan,Switzerland,12.0,,2020-06-04
27,Financial Analyst,Eastman,,"Zug, ZG",nan,Switzerland,13.0,,2020-06-03
28,Junior Business Analyst Data Quality Control,Credit Suisse,,"Zürich, ZH",nan,Switzerland,8.0,,2020-06-08
29,Internship Global Master Data Analyst,Lonza,,"Visp, VS",nan,Switzerland,19.0,,2020-05-28
30,Junior BI Analyst EMEA,Align Technology,,"Rotkreuz, ZG",nan,Switzerland,30.0,,2020-05-17
31,Business Intelligence Analyst,Resideo,,"Nyon, VD",nan,Switzerland,10.0,,2020-06-06
32,Power Analyst,AXPO,,"Baden, AG",nan,Switzerland,28.0,,2020-05-19
33,Consultant(e) / Ingénieur(e) Data Analyst,Sigma,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
34,Business Analyst – Pharma experience mandatory,Tech Mahindra BPS,,"Basel, BL",nan,Switzerland,19.0,,2020-05-28
35,International Senior Client Services Analyst,IQVIA,,"Rotkreuz, ZG",nan,Switzerland,11.0,,2020-06-05
36,Senior Petroleum Analyst,AXPO,,"Baden, AG",nan,Switzerland,26.0,,2020-05-21
37,Freight Analyst,Koch Supply & Trading,,"Genf, GE",nan,Switzerland,10.0,,2020-06-06
38,Junior Data Analyst (m/w),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
39,Market Analyst (50–100%),CREALOGIX,,"Zürich, ZH",nan,Switzerland,7.0,,2020-06-09
40,Project Data Analyst / Controller,Swisscontact,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
41,SEO Data Analyst f/m/d,Scout24 Schweiz AG,,"Flamatt, FR",nan,Switzerland,30.0,,2020-05-17
42,Operational Compliance Analyst Intern,Total,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
43,Computational Biologist for Biomedicine,Universität Basel,,"Basel, BS",nan,Switzerland,0.0,,2020-06-16
44,Financial Crimes Technology Data Modeler / Analyst,UBS,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
45,Innovation Analyst Internship (m/f) 100%,Implenia Schweiz AG,,"Dietlikon, ZH",nan,Switzerland,11.0,,2020-06-05
46,Data Delivery Analyst,Credit Suisse,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
47,Data Engineer,Onedot,,"Schlieren, ZH",nan,Switzerland,6.0,,2020-06-10
48,Data Privacy Analyst,Swisslinx,,"Zug, ZG",nan,Switzerland,16.0,,2020-05-31
49,Corporate Finance Analyst / Associate,Advanon,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
50,"Derivatives Middle Office Analyst, Internship",Total,,"Genf, GE",nan,Switzerland,10.0,,2020-06-06
51,Digital Biomarker Data Processing Solutions Architect,Roche,,nan,nan,Switzerland,30.0,,2020-05-17
52,Graduate Artificial Intelligence and Analytics (Data Enginee...,Cognizant,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
53,Business analyst,Corteva Agriscience,,"Versoix, GE",nan,Switzerland,30.0,,2020-05-17
54,IT Business Analyst Client Data Management (w/m),LGT,,"Bendern, LI",nan,Switzerland,30.0,,2020-05-17
55,Business Analyst,Beekeeper,,"Zürich, ZH",nan,Switzerland,10.0,,2020-06-06
56,Business Support Analyst,Barclays,,"Genf, GE",nan,Switzerland,9.0,,2020-06-07
57,ESG Analyst,S&P Global,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
58,Field Data Analyst (Aussendienst),Voigt Industrie Service AG,,"Niederbipp, BE",nan,Switzerland,30.0,,2020-05-17
59,CRM IT Analyst with Programming Skills,Ermenegildo Zegna,,"Stabio, TI",nan,Switzerland,18.0,,2020-05-29
60,"Portfolio Analyst (m/f/d) at Allianz SE Reinsurance, Zurich",Allianz SE Reinsurance,,"Zürich, ZH",nan,Switzerland,13.0,,2020-06-03
61,BI Analyst (temporary assignment 6,Sophia Genetics,,"Lausanne, VD",nan,Switzerland,30.0,,2020-05-17
62,Quantitative Treasury Analyst,Swissquote,,"Gland, VD",nan,Switzerland,30.0,,2020-05-17
63,DWH EXPERT,Vicara Infotech Group AG,,Schweiz,nan,Switzerland,30.0,,2020-05-17
64,"Data Analyst, Data Warehouse (SQL, Excel)",Esprit Personalberatung,,"Bezirk Bülach, ZH",nan,Switzerland,30.0,,2020-05-17
65,Procurement Analyst,Amcor,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
66,GIA - Governance & Operational Excellence - Operations Analy...,Swiss Re,,Schweiz,nan,Switzerland,5.0,,2020-06-11
67,Business Analyst Intern,L'OCCITANE en provence,,"Genf, GE",nan,Switzerland,17.0,,2020-05-30
68,"BI/CRM Analyst, EMEA",Align Technology,,"Rotkreuz, ZG",nan,Switzerland,30.0,,2020-05-17
69,Investment Advisor,AMP Partners,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
70,"Regulatory Reporting Analyst, temporary",UBS,,"Opfikon, ZH",nan,Switzerland,20.0,,2020-05-27
71,Cloud BI and Data Warehouse Specialist,Vicara Infotech Group AG,,Schweiz,nan,Switzerland,30.0,,2020-05-17
72,Data Analyst (m/f) - Trading and financial data,Michael Page,,"Nyon, VD",nan,Switzerland,30.0,,2020-05-17
73,Application Analyst SAP Logistic (m/f),Mikron Holding,,"Boudry, NE",nan,Switzerland,30.0,,2020-05-17
74,Data Analyst Administrator,Experis,,"Genf, GE",nan,Switzerland,17.0,,2020-05-30
75,Business Analyst,Aera Technology,,"Lausanne, VD",nan,Switzerland,30.0,,2020-05-17
76,Junior Product Specialist,Lombard Odier & Cie,,"Genf, GE",nan,Switzerland,19.0,,2020-05-28
77,"Software Engineer / Data Analyst (m/w) FH, ETH, Uni",Helbling Technik,,"Aarau, AG",nan,Switzerland,30.0,,2020-05-17
78,Head of AI and Data Science for Business Insights,Roche,,"Basel, BS",nan,Switzerland,12.0,,2020-06-04
79,Senior Business Analyst,Utopia Music,,"Zug, ZG",nan,Switzerland,20.0,,2020-05-27
80,RWA Business Analyst,Redempt Resourcing,,"Zürich, ZH",CHF 450 pro Tag,Switzerland,30.0,109228.5,2020-05-17
81,DIGITAL BIOMARKER - VOICE/SPEECH DATA ANALYST,Altran,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
82,Data Scientist/ Analyst (m/w) 60-100%,myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
83,Data Analyst (Senior Position) m/w,myitjob,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
84,IT Support Analyst,UBS,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
85,Career Start – Investment Banking –Structured Transactions G...,Credit Suisse Campus,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
86,Business Analyst 80%-100%,DAI Group GmbH,,"Zug, ZG",nan,Switzerland,19.0,,2020-05-28
87,Risk Reporting Analyst,Credit Suisse,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
88,Clinical Data Manager,Kantonsspital Baselland,,"Liestal, BL",nan,Switzerland,30.0,,2020-05-17
89,"Lead Investment Data & BI Analyst (m/w), 80-100%",Zurich Insurance Group,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
90,MyAO Program Manager & Business Analyst,AO Foundation,,"Davos, GR",nan,Switzerland,10.0,,2020-06-06
91,Digital Pharma Data Analyst,Merck KGaA,,"Lausanne, VD",nan,Switzerland,30.0,,2020-05-17
92,ASAP: Data Analyst - Pricing Data Coordination - Pharma (m/w...,Michael Page,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
93,Business Analyst Order-to-Cash (O2C),Vorwerk,,"Wollerau, SZ",nan,Switzerland,5.0,,2020-06-11
94,"Compensation Analyst, Europe & Canada",Takeda Pharmaceuticals,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
95,Senior Credit Analyst (m/w/d),Tech Data Corporation,,"Rotkreuz, ZG",nan,Switzerland,30.0,,2020-05-17
96,"Business Analyst, Information Management",Barry Callebaut,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
97,Business Analyst - Liquid Strategies 80-100%,LGT,,"Pfäffikon, SZ",nan,Switzerland,7.0,,2020-06-09
98,Actimize Data Analyst (m/w/d),Red Commerce,,"Zürich, ZH",nan,Switzerland,26.0,,2020-05-21
99,Data-Analyst/Scientist 80-100% (m/w),myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
100,Business Analyst,Taleo Consulting,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
101,Business Analyst with SQL,EPAM Systems,,"Zürich, ZH",nan,Switzerland,3.0,,2020-06-13
102,Reporting Analyst,FIFA,,"Zürich, ZH",nan,Switzerland,7.0,,2020-06-09
103,"Senior Portfolio Analyst (m/f/d) at Allianz SE Reinsurance,...",Allianz SE Reinsurance,,"Zürich, ZH",nan,Switzerland,18.0,,2020-05-29
104,Business Analyst/Business Data Analyst (pharmaceutical domai...,wega Informatik,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
105,Financial Controller,Mylan,,"Zug, ZG",nan,Switzerland,21.0,,2020-05-26
106,Data Analyst Bereich Prozessentwicklung (m/w),myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
107,Test Analyst,Capgemini,,"Genf, GE",nan,Switzerland,28.0,,2020-05-19
108,CRM Analyst Intern,Philip Morris International,,"Lausanne, VD",nan,Switzerland,30.0,,2020-05-17
109,Senior Lead & Data Analyst Sales (m/w/d),Sympany,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
110,Internship Business Management – Business Analyst/ Project S...,Credit Suisse Campus,,"Zürich, ZH",nan,Switzerland,5.0,,2020-06-11
111,Business Analyst,Adroitpeople india pvt ltd,,"Basel, BS",CHF 80'000 - CHF 100'000 pro Jahr,Switzerland,27.0,142401.6,2020-05-20
112,Quality Control Analyst (Temporary Assignement),Bristol-Myers Squibb,,"Boudry, NE",nan,Switzerland,5.0,,2020-06-11
113,Security Analyst,Kudelski SA,,"Cheseaux, VD",nan,Switzerland,30.0,,2020-05-17
114,Business Analyst Syrius,Callista Group AG,,"Zürich, ZH",nan,Switzerland,5.0,,2020-06-11
115,Data Management Office - Business Analyst,UBS,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
116,"Graduate Talent Program 2020, Data Analytics Group Internal...",UBS,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
117,Business / Data Analyst in Credit Risk Management Swiss Univ...,Credit Suisse,,"Zürich, ZH",nan,Switzerland,16.0,,2020-05-31
118,Daten-Analyst (m/w) 80-100%,myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
119,"Client Reporting, Database & Performance Analyst (m/f)",Michael Page,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
120,Alternatives Product Specialist (12month FTC),Quintet Switzerland,,"Zürich, ZH",nan,Switzerland,13.0,,2020-06-03
121,"Consultant, Technology Solutions",IQVIA,,"Basel, BS",nan,Switzerland,11.0,,2020-06-05
122,Quantitative Risk Analyst - Model Validation,UBS,,"Opfikon, ZH",nan,Switzerland,0.0,,2020-06-16
123,Senior Digital Analyst / Google Analytics Expert,zweipunkt,,"Basel, BS",nan,Switzerland,6.0,,2020-06-10
124,(Senior) Analyst - Pricing & Yield (m/w) 80-100%,Goldbach Group AG,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
125,Application Support Intmd. Analyst,CITI,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
126,Category Development Analyst,Nestle,,"La Tour-de-Peilz, VD",nan,Switzerland,30.0,,2020-05-17
127,CMC Portfolio Analyst in Technical Development,Roche,,"Basel, BS",nan,Switzerland,17.0,,2020-05-30
128,Business Analyst For Loan Stress Testing,Credit Suisse,,"Zürich, ZH",nan,Switzerland,8.0,,2020-06-08
129,Senior Data-Analyst/in,myitjob,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
130,Bioinformatik-Analyst/-in (60-100%),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
131,Senior ESG Analyst,S&P Global,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
132,DXT Commodities SA: Power Analyst,ETH get hired,,"Lugano, TI",nan,Switzerland,26.0,,2020-05-21
133,Monetization Consultant f/m/d,Scout24 Schweiz AG,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
134,Senior Business Analyst,Unisys,,"Bern, BE",nan,Switzerland,20.0,,2020-05-27
135,Business Development Analyst - The Defeat-NCD Partnership (I...,UNITAR,,"Genf, GE",nan,Switzerland,9.0,,2020-06-07
136,Senior Data Scientist,Kudelski SA,,"Cheseaux, VD",nan,Switzerland,30.0,,2020-05-17
137,Vertriebscontroller - Business Analyst,Bank Cler AG,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
138,Teilprojektleiterin/-leiter KISS (Forschung / Business Intel...,Insel Gruppe,,"Bern, BE",nan,Switzerland,12.0,,2020-06-04
139,Senior Market Microstructure Analyst,Oryctérope Transalpin Sarl,,"Martigny, VS",nan,Switzerland,10.0,,2020-06-06
140,Financial analyst,Fed Finance,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
141,Junior Application Specialist / Junior Test Analyst (LSW),Randstad Professionals,,"Zug, ZG",nan,Switzerland,6.0,,2020-06-10
142,IT Application Analyst,Meditrina Talent,,"Zürich, ZH",nan,Switzerland,3.0,,2020-06-13
143,Data Modeler / Data Architect,EPAM Systems,,"Zürich, ZH",nan,Switzerland,18.0,,2020-05-29
144,Senior Business Analyst,Lonza,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
145,Wirtschaftsinformatiker / Data Analyst (m/w) 100%,myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
146,IT Consultant / Business Analyst,Knowledge Lab AG,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
147,Senior Business Development Analyst,Vifor Pharma,,"Glattbrugg, ZH",nan,Switzerland,30.0,,2020-05-17
148,Business Analyst (m/w),myitjob,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
149,Data Scientist (m/w) 80-100%,myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
150,Computational Biologist for Biomedicine (100%),SIB Swiss Institute of Bioinformatics,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
151,"SCM Internship, 12 months (80-100%)",ABB,,"Turgi, AG",nan,Switzerland,30.0,,2020-05-17
152,Junior Test Analyst,Swisslinx,,"Basel, BS",nan,Switzerland,10.0,,2020-06-06
153,Financial Analyst - M/F,Page Personnel,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
154,Sr. Investment Analyst (m/f),Michael Page,,"Luzern, LU",nan,Switzerland,30.0,,2020-05-17
155,Senior ESG Analyst,S&P Global Ratings,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
156,SAP Business Analyst - Aubonne,Intuitive,,"Aubonne, VD",nan,Switzerland,30.0,,2020-05-17
157,Business Analyst SAP FSCM 80-100%,Zurich,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
158,"Data Engineer/Analyst (m/w, 80-100%)",myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
159,BI Business Analyst / Developer (m/f/d),Hays,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
160,VBA & SQL Developer / Business Analyst,Huntsman,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
161,Business Process Analyst & Application Consultant SAP WM/MM...,Siemens AG,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
162,IS Functional Analyst (80-100%),ABB,,"Baden, AG",nan,Switzerland,30.0,,2020-05-17
163,Applicationmanager Customer Identity and Access (m/w) 100%,AMAG Group,,"Cham, ZG",nan,Switzerland,30.0,,2020-05-17
164,Information Technology (IT) Continuous Improvement Lead,Takeda Pharmaceuticals,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
165,Financial Business Analyst,Badenoch + Clark,,"Zürich, ZH",nan,Switzerland,20.0,,2020-05-27
166,Requirements Engineer (f/m/d) 100%,Mettler Toledo,,"Zürich, ZH",nan,Switzerland,26.0,,2020-05-21
167,Developer PL/SQL AVALOQ,Ayaval AG,,"Zug, ZG",nan,Switzerland,26.0,,2020-05-21
168,Business Analyst SAP FSCM 80-100%,Zurich Insurance Group,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
169,EMEA Region Audit Manager,Swiss Re,,Schweiz,nan,Switzerland,4.0,,2020-06-12
170,Apttus CPQ Senior Developer - Remote,Pitcher AG,,"Zürich, ZH",nan,Switzerland,12.0,,2020-06-04
171,Senior IT Business Analyst (Commercial Systems),Quotient Limited,,"Eysins, VD",nan,Switzerland,6.0,,2020-06-10
172,Business Intelligence & CRM Analyst (m/w),myitjob,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
173,Senior Data Architect 80-100%,Zurich Insurance Group,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
174,SW Test Manager / Analyst,myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
175,Senior Data Engineer f/m/d,Scout24 Schweiz AG,,"Flamatt, FR",nan,Switzerland,6.0,,2020-06-10
176,Project Manager m/w,JRL-Bossert Consulting,,"Othmarsingen, AG",nan,Switzerland,11.0,,2020-06-05
177,TMF Domain Expert- Sponsor dedicated,IQVIA,,"Basel, BS",nan,Switzerland,11.0,,2020-06-05
178,Big Data Analyst Palantir,GSI Consultants,,"Zürich, ZH",nan,Switzerland,4.0,,2020-06-12
179,Global Digital Media Manager,La Prairie Group,,"Volketswil, ZH",nan,Switzerland,19.0,,2020-05-28
180,Cyber Security Analyst,PICTET,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
181,Data Analyst (m/w) Teilzeit ab 60% möglich,myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
182,Head of Client File Review,Lombard Odier & Cie,,"Genf, GE",nan,Switzerland,19.0,,2020-05-28
183,Fellow - McKinsey Digital,McKinsey & Company,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
184,Compliance Risk Management Senior Analyst,CITI,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
185,Junior Investigation Analyst,Experis,,"Genf, GE",nan,Switzerland,27.0,,2020-05-20
186,Digital Biomarker Data Processing Solutions Architect,Roche,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
187,Internal Account Manager (h/f/d),Tech Data Corporation,,"Gland, VD",nan,Switzerland,30.0,,2020-05-17
188,Senior Quantitative Analyst / Coin Economist - 100%,acture capital GmbH,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
189,Data Analyst in a financial team - NGO (m/f) - 4 months,Michael Page,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
190,Business Analyst with Business Objects experience,EPAM Systems,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
191,SAP Senior Security Analyst,Zimmer Biomet,,"Winterthur, ZH",nan,Switzerland,12.0,,2020-06-04
192,BUSINESS ANALYST SCRUM MASTER,Altran,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
193,Fullstack Engineer (m/w) 100%,AMAG Group,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
194,QC Analyst Microbiology,Alten,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
195,Intern Risk Analyst - Life Sciences/Chemical Industries,Swiss Re,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
196,Business Application Analyst Sales Configuration (CPQ/SAP),Bystronic Laser AG,,"Niederoenz, BE",nan,Switzerland,7.0,,2020-06-09
197,Paralegal - Data Protection,Experis,,"Zug, ZG",nan,Switzerland,17.0,,2020-05-30
198,Business Analyst,Spring Professional,,"Le Vaud, VD",nan,Switzerland,30.0,,2020-05-17
199,SAP Functional Sr. Analyst - McKinsey Digital,McKinsey & Company,,"Zürich, ZH",nan,Switzerland,5.0,,2020-06-11
200,Business Analyst & Engineer SAP BW (w/m/d) Teilzeit/Vollzeit,Helvetia Versicherungen,,"Basel, BS",nan,Switzerland,18.0,,2020-05-29
201,Business Analyst,Proclinical,,"Zug, ZG",nan,Switzerland,13.0,,2020-06-03
202,Business Analyst Financial Messaging,UBS,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
203,BPE Application Support,Roche,,"Basel, BS",nan,Switzerland,20.0,,2020-05-27
204,Intraday Quant Trader,DXT Commodities,,"Lugano, TI",nan,Switzerland,30.0,,2020-05-17
205,Business Analyst with Big Data experience (in Manno),EPAM Systems,,"Manno, TI",nan,Switzerland,30.0,,2020-05-17
206,System analyst,Octal,,"Saint Saphorin, VD",nan,Switzerland,30.0,,2020-05-17
207,Digital Analytics Consultant,Fifty-Five,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
208,Investor Relations & Comms Director,Novartis,,"Basel, BS",nan,Switzerland,30.0,,2020-05-17
209,BI Analyst (m/w),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
210,Functional Business Analyst,SIX,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
211,Data Warehouse Engineer (m/f/d),Hays,,"Lugano, TI",nan,Switzerland,12.0,,2020-06-04
212,"Business Analyst, Project Coordinator and Support",Kelly Services,,"Kaiseraugst, AG",nan,Switzerland,4.0,,2020-06-12
213,Senior Architect,Infoplus Technologies,,"Genf, GE",nan,Switzerland,6.0,,2020-06-10
214,IT Business Analyst MES (Manufacturing Execution System),Vifor Pharma,,"Glattbrugg, ZH",nan,Switzerland,30.0,,2020-05-17
215,Desktop Developer Risk Control Department,Leonteq AG,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
216,BI Analyst / Entwickler (m/w),myitjob,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
217,EMEA Demand Planner - Diagnostic Systems (M/F),BD,,"Eysins, VD",nan,Switzerland,30.0,,2020-05-17
218,Logistics Coordinator (m/f) - 100% - Temporary contract,Page Personnel,,"Zug, ZG",nan,Switzerland,30.0,,2020-05-17
219,Supply Chain Financial Analyst (m/f),Page Personnel,,"Wollerau, SZ",nan,Switzerland,30.0,,2020-05-17
220,IT Software Integrator,UBS,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
221,Product Owner,EPAM Systems,,"Zürich, ZH",nan,Switzerland,13.0,,2020-06-03
222,Business Capability Owner - Sales and Distribution,Roche,,"Basel, BS",nan,Switzerland,12.0,,2020-06-04
223,Data Preparation Expert (m/f),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
224,CRM Analyst (m/w),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
225,Security Consultant,IBM,,"Zürich, ZH",nan,Switzerland,3.0,,2020-06-13
226,SEO Analyst/-in,myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
227,Architect/ Designer/ Technical Lead,UBS,,"Zürich, ZH",nan,Switzerland,11.0,,2020-06-05
228,Client Side Tech Lead,CREALOGIX,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
229,Business Analyst/Project Coordinator (IT Communications),ITech Consult,,"Kaiseraugst, AG",nan,Switzerland,6.0,,2020-06-10
230,Global Sourcing Manager - MRO,General Mills - Europe/Australasia,,"Nyon, VD",nan,Switzerland,30.0,,2020-05-17
231,Web Portal Product Owner (W/M),EPFL,,"Genf, GE",nan,Switzerland,30.0,,2020-05-17
232,Senior ETL & Informatica Developer & Business Analyst,Credit Suisse,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
233,"Senior Consultant, Technology Solutions",IQVIA,,"Basel, BS",nan,Switzerland,11.0,,2020-06-05
234,Business Intelligence Manager (m/w),myitjob,,"Bern, BE",nan,Switzerland,30.0,,2020-05-17
235,"Security Engineer (On site, Geneva)",Kudelski SA,,"Cheseaux, VD",nan,Switzerland,30.0,,2020-05-17
236,Cloud Solution Architect,EPAM Systems,,"Zürich, ZH",nan,Switzerland,10.0,,2020-06-06
237,Senior Quantitative Credit Risk Analyst,Oliver James Associates,,"St. Gallen, SG",nan,Switzerland,27.0,,2020-05-20
238,Senior Business Analyst (m/w),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
239,Senior Data Architect (m/f) - Cloud-based infrastructure,Michael Page,,"Nyon, VD",nan,Switzerland,30.0,,2020-05-17
240,SAP BI/BW/BO Spezialist,bruederlinpartner,,"Zürich, ZH",nan,Switzerland,11.0,,2020-06-05
241,DWH Engineer (w/m),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
242,Product Owner Analytics Platform,Vf International,,"Mendrisio, TI",nan,Switzerland,30.0,,2020-05-17
243,Business Analyst/Requirements Engineer (f/m),myitjob,,"Zürich, ZH",nan,Switzerland,30.0,,2020-05-17
