,position,company_name,rating,location,salary,country,days,salary_num,date
1198,People Insights Analyst,Ocado Group,,Hatfield,nan,England,30.0,,2020-05-17
1199,Data Analyst,Professional Technical Recruitment,,Peterborough,£25000 - £30000 a year,England,30.0,27750.000000000004,2020-05-17
1200,Invoicing Operator/Data Analyst,A & S Recruitment,,Felixstowe,£24000 a year,England,30.0,26640.000000000004,2020-05-17
1201,QC Analyst,SGS,,Glasgow G81 2LG,£20000 - £25000 a year,England,30.0,22200.000000000004,2020-05-17
1202,Business Intelligence Administrator,Müller,,Market Drayton,nan,England,2.0,,2020-06-14
1203,CRM Business Analyst,AQA,,Manchester,£35556 - £41480 a year,England,13.0,39467.16,2020-06-03
1204,Head of Group Data & Analytics,boohoo.com,,Manchester,nan,England,18.0,,2020-05-29
1205,Junior Risk Analyst - Capital and Impairment,OneSavings Bank PLC,,London W1T 3EU,£30000 - £37000 a year,England,30.0,33300.0,2020-05-17
1206,"Business Analyst (BDD, CRM, LMS, Agile, Salesforce)",Ampersand Consulting,,London,£400 - £420 a day,England,30.0,115884.00000000001,2020-05-17
1207,Data Analyst – £35k (12 months Fixed Term Contract),Dome Recruitment,,Buckinghamshire,£35000 a year,England,30.0,38850.0,2020-05-17
1208,Service Desk Analyst,Utility Warehouse,,London,nan,England,19.0,,2020-05-28
1209,Research Associate (Quantitative Data Analysis: Active Trave...,University of Westminster,,London,£20425 - £23225 a year,England,23.0,22671.750000000004,2020-05-24
1210,Quantitative Researcher,TradeLink LLC,,London EC2M 7EB,nan,England,30.0,,2020-05-17
1211,"Warehouse Reporting Business Analyst (DataWarehouse, Reporti...",Ampersand Consulting,,London,£400 - £450 a day,England,30.0,115884.00000000001,2020-05-17
1212,Data Loss Prevention Analyst,Bupa,,Salford Quays,nan,England,30.0,,2020-05-17
1213,Quantitative Analyst,G-Research,,London,nan,England,30.0,,2020-05-17
1214,Junior/Mid-Level Data Analyst or Scientist,Heat Recruitment,,Bristol,£25000 - £40000 a year,England,30.0,27750.000000000004,2020-05-17
1215,Investment Data Analyst,Standard Life Aberdeen,,Edinburgh,nan,England,17.0,,2020-05-30
